%$Well : Cockburn1 : 04/04/2013 13:01:25
%DEPTH      PERM_F1    PHI        
%M          mD         Dec        
418.1856   357.5692   0.2266     
418.3380   356.7327   0.2266     
418.4904   354.7336   0.2265     
418.6428   352.3488   0.2263     
418.7952   350.7673   0.2262     
418.9476   349.8403   0.2261     
419.1000   349.1040   0.2261     
419.2524   348.6114   0.2261     
419.4048   348.8520   0.2261     
419.5572   348.6702   0.2261     
419.7096   348.5071   0.2260     
419.8620   347.6544   0.2260     
420.0144   345.8629   0.2259     
420.1668   343.4599   0.2257     
420.3192   341.5482   0.2256     
420.4716   340.6764   0.2255     
420.6240   341.2536   0.2256     
420.7764   343.4028   0.2257     
420.9288   346.2542   0.2259     
421.0812   348.3066   0.2260     
421.2336   356.2576   0.2265     
421.3860   366.4876   0.2272     
421.5384   377.7005   0.2279     
421.6908   390.0544   0.2286     
421.8432   404.3783   0.2294     
421.9956   414.5081   0.2300     
422.1480   424.5384   0.2306     
422.3004   439.6158   0.2314     
422.4528   456.5457   0.2322     
422.6052   471.9417   0.2330     
422.7576   483.7051   0.2336     
422.9100   485.3578   0.2337     
423.0624   484.1260   0.2336     
423.2148   483.7224   0.2336     
423.3672   485.5184   0.2337     
423.5196   487.8925   0.2338     
423.6720   489.3283   0.2339     
423.8244   490.0626   0.2339     
423.9768   489.9143   0.2339     
424.1292   489.0986   0.2338     
424.2816   487.8683   0.2338     
424.4340   486.6150   0.2337     
424.5864   485.7862   0.2337     
424.7388   485.0395   0.2336     
424.8912   487.5488   0.2338     
425.0436   491.4512   0.2340     
425.1960   495.5974   0.2342     
425.3484   499.1457   0.2343     
425.5008   501.4340   0.2344     
425.6532   503.0015   0.2345     
425.8056   504.2462   0.2346     
425.9580   505.2672   0.2346     
426.1104   506.5338   0.2347     
426.2628   508.6905   0.2348     
426.4152   510.7401   0.2349     
426.5676   511.8317   0.2349     
426.7200   510.9595   0.2349     
426.8724   509.8547   0.2348     
427.0248   510.3848   0.2348     
427.1772   513.4495   0.2350     
427.3296   518.9166   0.2352     
427.4820   523.3843   0.2354     
427.6344   523.5903   0.2354     
427.7868   521.9141   0.2354     
427.9392   519.1290   0.2352     
428.0916   514.9534   0.2351     
428.2440   513.1498   0.2350     
428.3964   518.7869   0.2352     
428.5488   524.2590   0.2355     
428.7012   530.2533   0.2357     
428.8536   535.4193   0.2360     
429.0060   535.8869   0.2360     
429.1584   537.2091   0.2360     
429.3108   538.7609   0.2361     
429.4632   539.0173   0.2361     
429.6156   540.4409   0.2362     
429.7680   541.8986   0.2363     
429.9204   542.9188   0.2363     
430.0728   542.4880   0.2363     
430.2252   540.8770   0.2362     
430.3776   539.0166   0.2361     
430.5300   538.3511   0.2361     
430.6824   538.5261   0.2361     
430.8348   539.8405   0.2362     
430.9872   540.1226   0.2362     
431.1396   539.9471   0.2362     
431.2920   541.4009   0.2362     
431.4444   544.5485   0.2364     
431.5968   548.6318   0.2365     
431.7492   552.0792   0.2367     
431.9016   552.9886   0.2367     
432.0540   551.2510   0.2367     
432.2064   547.6875   0.2365     
432.3588   543.5455   0.2363     
432.5112   539.9042   0.2362     
432.6636   537.2515   0.2361     
432.8160   535.3577   0.2360     
432.9684   534.1496   0.2359     
433.1208   531.1719   0.2358     
433.2732   527.4999   0.2356     
433.4256   520.6406   0.2353     
433.5780   513.3851   0.2350     
433.7304   506.4903   0.2347     
433.8828   500.2384   0.2344     
434.0352   495.1315   0.2341     
434.1876   491.3961   0.2340     
434.3400   488.6423   0.2338     
434.4924   486.6903   0.2337     
434.6448   485.7097   0.2337     
434.7972   484.2406   0.2336     
434.9496   482.4417   0.2335     
435.1020   480.7566   0.2334     
435.2544   479.4313   0.2334     
435.4068   477.8895   0.2333     
435.5592   475.9021   0.2332     
435.7116   474.0327   0.2331     
435.8640   471.5376   0.2330     
436.0164   468.4401   0.2328     
436.1688   465.5704   0.2327     
436.3212   462.9677   0.2326     
436.4736   461.1234   0.2325     
436.6260   460.0946   0.2324     
436.7784   460.2088   0.2324     
436.9308   461.0835   0.2325     
437.0832   462.5598   0.2325     
437.2356   463.9244   0.2326     
437.3880   465.0336   0.2327     
437.5404   464.6327   0.2326     
437.6928   462.9514   0.2326     
437.8452   460.8073   0.2325     
437.9976   459.0135   0.2324     
438.1500   457.1230   0.2323     
438.3024   455.0917   0.2322     
438.4548   452.6281   0.2320     
438.6072   449.7045   0.2319     
438.7596   447.4679   0.2318     
438.9120   445.2943   0.2317     
439.0644   443.9985   0.2316     
439.2168   443.6219   0.2316     
